,city_ascii,lat,lng,admin_name,population
12891,Honjo,36.2436,139.1904,Saitama,76757.0
12910,Fukuchiyama,35.3,135.1333,Kyoto,77150.0
12913,Tsubame,37.6731,138.8822,Niigata,76590.0
12922,Toyooka,35.55,134.8167,Hyogo,77005.0
12923,Nikko,36.7198,139.6982,Tochigi,77027.0
12927,Ryugasaki,35.9116,140.1823,Ibaraki,76055.0
12933,Aira,31.7283,130.6278,Kagoshima,76610.0
12961,Nabari,34.6276,136.1084,Mie,75942.0
12972,Kai,35.6608,138.5158,Yamanashi,75337.0
12974,Toyomamachi-teraike,38.6918,141.1877,Miyagi,76164.0
12977,Daisen,39.4531,140.4754,Akita,76164.0
13021,Tosu,33.3833,130.5,Saga,74673.0
13022,Kyotanabe,34.8167,135.7667,Kyoto,73985.0
13028,Nakatsugawa,35.4876,137.5006,Gifu,75500.0
13041,Sasagawa,37.2865,140.3727,Fukushima,75128.0
13056,Tatebayashi,36.2448,139.5421,Gunma,73991.0
13069,Amakusa,32.4667,130.2,Kumamoto,74861.0
13078,Kandori,35.6833,140.0333,Chiba,74469.0
13086,Miki,34.7936,134.9931,Hyogo,74255.0
13112,Tatsunocho-tominaga,34.8508,134.5453,Hyogo,73952.0
13145,Yurihonjo,39.3859,140.0488,Akita,73840.0
13146,Inuyama,35.3786,136.9445,Gifu,72926.0
13151,Kasama,36.3452,140.3043,Ibaraki,73521.0
13190,Shibukawa,36.3894,139.0633,Gunma,73064.0
13208,Otawara,36.8711,140.0156,Tochigi,72923.0
13272,Ishioka,36.1908,140.2872,Ibaraki,71851.0
13293,Yukuhashi,33.7333,130.9833,Fukuoka,70922.0
13311,Katori,35.8977,140.4992,Chiba,71391.0
13362,Moriya,35.9514,139.9754,Ibaraki,68992.0
